id,catégorie,sous_catégorie,marque,modèle,processeur,carte_graphique,mémoire_ram_go,stockage_go,type_stockage,écran_pouces,prix_cad,note_clients_sur_5,poids_kg,stock_disponible,couleur,système,réseau,ports_usb,année_modèle,description,pays,devise,date_génération
726,Portable de gaming,Extrême,ASUS,ROG Zephyrus 598-D38-Pro,Intel Core i9-13900KF,NVIDIA GeForce RTX 4080,48,256,HDD,17.3,3088.29,4.1,2.48,29,argent,Windows 11 Famille,Wi‑Fi 7,4,2025,Portable de gaming doté d'un écran fluide et d'une carte graphique NVIDIA GeForce RTX 4080; parfait pour l'esport.,Canada,CAD,2025-10-06
727,Ordinateur de bureau,Haut de gamme,MSI,Codex 652-E34,Intel Core i5-13400F,NVIDIA GeForce RTX 4080,16,1000,HDD,0,2725.71,4.2,5.95,8,bleu,Windows 11 Pro,Wi‑Fi 6,10,2024,"Ordinateur conçu pour le streaming et le montage vidéo; Intel Core i5-13400F, 16 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
728,Ordinateur de bureau,Extrême,ASUS,ROG Strix 542-D43-Max,Intel Core i7-13700F,NVIDIA GeForce RTX 4080,64,256,HDD,0,3626.42,4.1,9.15,30,noir/rouge,Windows 11 Famille,Wi‑Fi 6,11,2024,Portable de gaming doté d'un écran fluide et d'une carte graphique NVIDIA GeForce RTX 4080; parfait pour l'esport.,Canada,CAD,2025-10-06
729,Portable de gaming,Milieu de gamme,Razer,Blade 16 564-E96-Pro,AMD Ryzen 9 7950X3D,AMD Radeon RX 7700 XT,24,256,SSD NVMe,17.3,1624.29,4.7,2.21,52,argent,Windows 11 Pro,Wi‑Fi 7,5,2025,PC de jeu puissant avec processeur AMD Ryzen 9 7950X3D et AMD Radeon RX 7700 XT; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
730,Portable de gaming,Extrême,MSI,Vector 700-D38-X,Intel Core i9-13900KF,NVIDIA GeForce RTX 4090,16,2000,SSD SATA,17.3,3758.96,4.4,2.43,44,argent,Windows 11 Famille,Wi‑Fi 7,5,2023,"Machine robuste au châssis soigné; ventilateurs silencieux, performances stables et mise à niveau facile.",Canada,CAD,2025-10-06
731,Portable de gaming,Milieu de gamme,Lenovo,Legion Pro 168-D81-Max,AMD Ryzen 9 7950X3D,NVIDIA GeForce RTX 4070,8,2000,SSD NVMe,17.3,1672.77,4.3,2.21,24,noir/rouge,Windows 11 Famille,Wi‑Fi 6E,5,2024,"Machine robuste au châssis soigné; ventilateurs silencieux, performances stables et mise à niveau facile.",Canada,CAD,2025-10-06
732,Portable de gaming,Extrême,Acer,Nitro 996-C95-X,AMD Ryzen 9 7950X3D,NVIDIA GeForce RTX 4090,48,1000,SSD NVMe,16,4158.92,4.3,2.54,28,gris,Windows 11 Famille,Wi‑Fi 6E,5,2024,"Ordinateur conçu pour le streaming et le montage vidéo; AMD Ryzen 9 7950X3D, 48 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
733,Portable de gaming,Milieu de gamme,Lenovo,LOQ 218-B69-Max,AMD Ryzen 9 7950X3D,NVIDIA GeForce RTX 4060,24,2000,SSD SATA,16,1696.23,4.8,3.13,18,bleu,Windows 11 Pro,Wi‑Fi 6E,6,2025,Portable de gaming doté d'un écran fluide et d'une carte graphique NVIDIA GeForce RTX 4060; parfait pour l'esport.,Canada,CAD,2025-10-06
734,Ordinateur de bureau,Extrême,MSI,Raider 619-B62-Pro,Intel Core i9-13900KF,NVIDIA GeForce RTX 4080,64,1000,SSD NVMe,0,3739.23,4.8,7.83,47,blanc,Windows 11 Pro,Wi‑Fi 6E,10,2023,"Ordinateur conçu pour le streaming et le montage vidéo; Intel Core i9-13900KF, 64 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
735,Ordinateur de bureau,Milieu de gamme,Gigabyte,AERO 447-A49-X,Intel Core i7-13700F,AMD Radeon RX 7600,16,4000,SSD NVMe,0,1787.89,3.6,8.69,19,argent,Windows 11 Pro,Wi‑Fi 7,8,2025,PC de jeu puissant avec processeur Intel Core i7-13700F et AMD Radeon RX 7600; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
736,Portable de gaming,Haut de gamme,MSI,Aegis 899-C55,AMD Ryzen 7 7800X3D,NVIDIA GeForce RTX 4060,64,256,SSD NVMe,16,2166.08,4.7,2.9,22,bleu,Windows 11 Famille,Wi‑Fi 6E,4,2025,Portable de gaming doté d'un écran fluide et d'une carte graphique NVIDIA GeForce RTX 4060; parfait pour l'esport.,Canada,CAD,2025-10-06
737,Portable de gaming,Entrée de gamme,HP,OMEN 439-D37-Pro,Intel Core i7-13700F,NVIDIA GeForce RTX 4060,8,256,SSD SATA,17.3,948.67,4.4,2.63,0,blanc,Windows 11 Pro,Wi‑Fi 6,3,2023,"Ordinateur conçu pour le streaming et le montage vidéo; Intel Core i7-13700F, 8 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
738,Ordinateur de bureau,Extrême,HP,OMEN 746-B14-X,Intel Core i5-13400F,AMD Radeon RX 7900 XT,32,2000,SSD NVMe,0,2933.82,5,9.94,36,noir,Windows 11 Pro,Wi‑Fi 6,5,2023,"Machine robuste au châssis soigné; ventilateurs silencieux, performances stables et mise à niveau facile.",Canada,CAD,2025-10-06
739,Portable de gaming,Haut de gamme,Alienware,m16 860-E87,Intel Core i5-13400F,AMD Radeon RX 7700 XT,48,2000,SSD NVMe,17.3,2380.54,3.9,2.69,51,blanc,Windows 11 Pro,Wi‑Fi 7,6,2025,PC de jeu puissant avec processeur Intel Core i5-13400F et AMD Radeon RX 7700 XT; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
740,Portable de gaming,Extrême,HP,Victus 307-A43-Max,AMD Ryzen 7 7800X3D,NVIDIA GeForce RTX 4090,32,1000,SSD NVMe,15.6,4034.75,5,2.87,8,blanc,Windows 11 Pro,Wi‑Fi 6E,4,2025,"Machine robuste au châssis soigné; ventilateurs silencieux, performances stables et mise à niveau facile.",Canada,CAD,2025-10-06
741,Portable de gaming,Milieu de gamme,Razer,Blade 15 117-D60-Max,AMD Ryzen 7 7800X3D,AMD Radeon RX 7700 XT,8,2000,SSD NVMe,15.6,1476.6,4.1,2.17,9,blanc,Windows 11 Famille,Wi‑Fi 6E,4,2024,"Machine robuste au châssis soigné; ventilateurs silencieux, performances stables et mise à niveau facile.",Canada,CAD,2025-10-06
742,Portable de gaming,Extrême,ASUS,ROG Zephyrus 247-A22-Pro,Intel Core i7-13700F,AMD Radeon RX 7900 XT,32,4000,SSD NVMe,15.6,3057.92,4.6,2.99,16,bleu,Windows 11 Pro,Wi‑Fi 7,4,2025,Portable de gaming doté d'un écran fluide et d'une carte graphique AMD Radeon RX 7900 XT; parfait pour l'esport.,Canada,CAD,2025-10-06
743,Portable de gaming,Extrême,MSI,Aegis 521-C53-Pro,Intel Core i5-13400F,NVIDIA GeForce RTX 4080,64,4000,SSD NVMe,15.6,3967.53,3.4,1.77,23,bleu,Windows 11 Famille,Wi‑Fi 6E,5,2025,"Système équilibré pour AAA récents; NVIDIA GeForce RTX 4080, stockage 4000 Go SSD NVMe, connectivité Wi‑Fi 6E.",Canada,CAD,2025-10-06
744,Portable de gaming,Entrée de gamme,Dell,Inspiron Gaming 429-D71-X,AMD Ryzen 9 7950X3D,AMD Radeon RX 7700 XT,8,256,SSD NVMe,15.6,1210.13,4.9,1.95,26,argent,Windows 11 Famille,Wi‑Fi 7,7,2025,PC de jeu puissant avec processeur AMD Ryzen 9 7950X3D et AMD Radeon RX 7700 XT; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
745,Portable de gaming,Extrême,Acer,Predator Helios 990-A14-Max,AMD Ryzen 5 7600,NVIDIA GeForce RTX 4070,64,4000,SSD NVMe,17.3,3203.9,4.7,3.01,27,blanc,Windows 11 Pro,Wi‑Fi 6,3,2024,PC de jeu puissant avec processeur AMD Ryzen 5 7600 et NVIDIA GeForce RTX 4070; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
746,Portable de gaming,Milieu de gamme,Alienware,x16 635-C88-Pro,AMD Ryzen 7 7800X3D,AMD Radeon RX 7700 XT,16,512,SSD NVMe,17.3,1370,4.8,2.61,29,bleu,Windows 11 Pro,Wi‑Fi 7,6,2024,"Système équilibré pour AAA récents; AMD Radeon RX 7700 XT, stockage 512 Go SSD NVMe, connectivité Wi‑Fi 7.",Canada,CAD,2025-10-06
747,Portable de gaming,Milieu de gamme,Gigabyte,AORUS 864-B31-Pro,AMD Ryzen 5 7600,NVIDIA GeForce RTX 4060,24,2000,SSD NVMe,16,1522.29,4.3,1.84,26,gris,Windows 11 Famille,Wi‑Fi 7,3,2023,Portable de gaming doté d'un écran fluide et d'une carte graphique NVIDIA GeForce RTX 4060; parfait pour l'esport.,Canada,CAD,2025-10-06
748,Portable de gaming,Haut de gamme,ASUS,ROG G15 196-A89-Pro,Intel Core i7-13700F,NVIDIA GeForce RTX 4060,24,4000,SSD SATA,16,1948.68,5,2.05,34,gris,Windows 11 Famille,Wi‑Fi 6E,7,2024,"Machine robuste au châssis soigné; ventilateurs silencieux, performances stables et mise à niveau facile.",Canada,CAD,2025-10-06
749,Portable de gaming,Milieu de gamme,HP,Victus 885-D42-SE,AMD Ryzen 9 7950X3D,AMD Radeon RX 7700 XT,16,256,SSD NVMe,15.6,1450,3.9,2.53,26,argent,Windows 11 Pro,Wi‑Fi 6E,4,2025,PC de jeu puissant avec processeur AMD Ryzen 9 7950X3D et AMD Radeon RX 7700 XT; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
750,Portable de gaming,Milieu de gamme,Acer,Predator Orion 760-D52-SE,AMD Ryzen 7 7800X3D,AMD Radeon RX 7600,24,4000,SSD NVMe,16,1754.29,4.6,2.6,22,argent,Windows 11 Famille,Wi‑Fi 6,3,2023,"Machine robuste au châssis soigné; ventilateurs silencieux, performances stables et mise à niveau facile.",Canada,CAD,2025-10-06
751,Ordinateur de bureau,Haut de gamme,Acer,Predator Helios 586-A51-X,Intel Core i5-13400F,NVIDIA GeForce RTX 4070,48,2000,SSD NVMe,0,2593.33,4.2,4.78,53,bleu,Windows 11 Pro,Wi‑Fi 6,6,2023,"Machine robuste au châssis soigné; ventilateurs silencieux, performances stables et mise à niveau facile.",Canada,CAD,2025-10-06
752,Ordinateur de bureau,Extrême,Alienware,x16 823-D55-Max,AMD Ryzen 7 7800X3D,NVIDIA GeForce RTX 4080,48,256,SSD SATA,0,3315.09,4.6,12.17,1,noir/rouge,Windows 11 Famille,Wi‑Fi 6E,5,2025,Portable de gaming doté d'un écran fluide et d'une carte graphique NVIDIA GeForce RTX 4080; parfait pour l'esport.,Canada,CAD,2025-10-06
753,Ordinateur de bureau,Milieu de gamme,Alienware,Aurora R16 601-C97-Max,AMD Ryzen 5 7600,AMD Radeon RX 7700 XT,24,512,SSD NVMe,0,1666.28,4.4,13.75,44,noir/rouge,Windows 11 Pro,Wi‑Fi 6E,7,2025,"Système équilibré pour AAA récents; AMD Radeon RX 7700 XT, stockage 512 Go SSD NVMe, connectivité Wi‑Fi 6E.",Canada,CAD,2025-10-06
754,Ordinateur de bureau,Milieu de gamme,Lenovo,LOQ 997-B58-SE,AMD Ryzen 9 7950X3D,NVIDIA GeForce RTX 4060,16,2000,SSD NVMe,0,1491.05,4.1,6.64,40,gris,Windows 11 Pro,Wi‑Fi 6,5,2024,"Ordinateur conçu pour le streaming et le montage vidéo; AMD Ryzen 9 7950X3D, 16 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
755,Ordinateur de bureau,Extrême,Razer,Blade 15 379-A92-SE,AMD Ryzen 5 7600,NVIDIA GeForce RTX 4090,8,1000,SSD NVMe,0,3450.08,4.2,5.94,33,noir/rouge,Windows 11 Famille,Wi‑Fi 6E,4,2025,"Système équilibré pour AAA récents; NVIDIA GeForce RTX 4090, stockage 1000 Go SSD NVMe, connectivité Wi‑Fi 6E.",Canada,CAD,2025-10-06
756,Ordinateur de bureau,Haut de gamme,Gigabyte,AORUS 867-E23-Max,Intel Core i5-13400F,AMD Radeon RX 7600,64,512,SSD SATA,0,2123.8,4.2,14.1,42,noir,Windows 11 Famille,Wi‑Fi 6E,7,2023,PC de jeu puissant avec processeur Intel Core i5-13400F et AMD Radeon RX 7600; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
757,Ordinateur de bureau,Haut de gamme,Gigabyte,AERO 421-A79,Intel Core i7-13700F,AMD Radeon RX 7700 XT,48,256,SSD NVMe,0,2176.8,4.5,4.89,31,noir/rouge,Windows 11 Pro,Wi‑Fi 6,7,2025,"Ordinateur conçu pour le streaming et le montage vidéo; Intel Core i7-13700F, 48 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
758,Ordinateur de bureau,Haut de gamme,Razer,Blade 15 526-A18-Max,AMD Ryzen 7 7800X3D,NVIDIA GeForce RTX 4070,64,1000,SSD NVMe,0,2756.96,3.2,8.97,15,bleu,Windows 11 Pro,Wi‑Fi 6,8,2025,"Machine robuste au châssis soigné; ventilateurs silencieux, performances stables et mise à niveau facile.",Canada,CAD,2025-10-06
759,Ordinateur de bureau,Extrême,Alienware,m16 418-C81,Intel Core i9-13900KF,NVIDIA GeForce RTX 4090,48,256,SSD NVMe,0,4229.78,4.4,11.86,31,noir,Windows 11 Famille,Wi‑Fi 6,6,2025,PC de jeu puissant avec processeur Intel Core i9-13900KF et NVIDIA GeForce RTX 4090; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
760,Portable de gaming,Haut de gamme,Acer,Nitro 741-A31-SE,Intel Core i7-13700F,AMD Radeon RX 7700 XT,24,2000,SSD NVMe,17.3,1919.43,3.9,2.36,21,noir/rouge,Windows 11 Pro,Wi‑Fi 7,5,2023,Portable de gaming doté d'un écran fluide et d'une carte graphique AMD Radeon RX 7700 XT; parfait pour l'esport.,Canada,CAD,2025-10-06
761,Ordinateur de bureau,Extrême,HP,OMEN 822-C32-Max,AMD Ryzen 7 7800X3D,NVIDIA GeForce RTX 4080,32,512,SSD SATA,0,2905.38,4.1,12.33,28,argent,Windows 11 Famille,Wi‑Fi 6E,8,2024,"Système équilibré pour AAA récents; NVIDIA GeForce RTX 4080, stockage 512 Go SSD SATA, connectivité Wi‑Fi 6E.",Canada,CAD,2025-10-06
762,Ordinateur de bureau,Milieu de gamme,HP,OMEN 463-E56-Max,AMD Ryzen 9 7950X3D,AMD Radeon RX 7600,32,512,SSD NVMe,0,1631.81,5,12.64,19,argent,Windows 11 Pro,Wi‑Fi 7,4,2025,Portable de gaming doté d'un écran fluide et d'une carte graphique AMD Radeon RX 7600; parfait pour l'esport.,Canada,CAD,2025-10-06
763,Portable de gaming,Extrême,Alienware,x16 312-C99-Pro,AMD Ryzen 7 7800X3D,AMD Radeon RX 7900 XT,64,1000,SSD NVMe,15.6,3215.3,3.7,2.67,14,gris,Windows 11 Pro,Wi‑Fi 6,6,2023,"Machine robuste au châssis soigné; ventilateurs silencieux, performances stables et mise à niveau facile.",Canada,CAD,2025-10-06
764,Ordinateur de bureau,Haut de gamme,Acer,Nitro 578-E51-X,AMD Ryzen 5 7600,AMD Radeon RX 7700 XT,48,256,SSD NVMe,0,2049.14,5,9.63,12,noir,Windows 11 Pro,Wi‑Fi 6,6,2024,"Système équilibré pour AAA récents; AMD Radeon RX 7700 XT, stockage 256 Go SSD NVMe, connectivité Wi‑Fi 6.",Canada,CAD,2025-10-06
765,Ordinateur de bureau,Milieu de gamme,Dell,XPS Gaming 291-C49,AMD Ryzen 7 7800X3D,NVIDIA GeForce RTX 4070,8,2000,SSD SATA,0,1789.9,3.8,8.83,19,noir/rouge,Windows 11 Pro,Wi‑Fi 6E,8,2024,Portable de gaming doté d'un écran fluide et d'une carte graphique NVIDIA GeForce RTX 4070; parfait pour l'esport.,Canada,CAD,2025-10-06
766,Portable de gaming,Milieu de gamme,HP,Pavilion Gaming 715-C71-Pro,Intel Core i9-13900KF,NVIDIA GeForce RTX 4060,16,4000,SSD NVMe,16,1821.37,4.4,2.63,17,bleu,Windows 11 Pro,Wi‑Fi 6,4,2023,"Machine robuste au châssis soigné; ventilateurs silencieux, performances stables et mise à niveau facile.",Canada,CAD,2025-10-06
767,Portable de gaming,Haut de gamme,Acer,Nitro 814-E35-SE,AMD Ryzen 7 7800X3D,AMD Radeon RX 7900 XT,16,512,SSD NVMe,15.6,2342.32,5,1.89,25,argent,Windows 11 Pro,Wi‑Fi 6E,5,2024,"Système équilibré pour AAA récents; AMD Radeon RX 7900 XT, stockage 512 Go SSD NVMe, connectivité Wi‑Fi 6E.",Canada,CAD,2025-10-06
768,Portable de gaming,Haut de gamme,Acer,Nitro 774-B35,Intel Core i9-13900KF,NVIDIA GeForce RTX 4080,8,512,SSD NVMe,15.6,2362.22,3.8,2.59,50,argent,Windows 11 Famille,Wi‑Fi 7,5,2025,"Ordinateur conçu pour le streaming et le montage vidéo; Intel Core i9-13900KF, 8 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
769,Portable de gaming,Milieu de gamme,MSI,Aegis 452-A70-X,AMD Ryzen 5 7600,AMD Radeon RX 7700 XT,16,2000,SSD NVMe,16,1706.1,4,2.58,52,blanc,Windows 11 Famille,Wi‑Fi 6,6,2024,Portable de gaming doté d'un écran fluide et d'une carte graphique AMD Radeon RX 7700 XT; parfait pour l'esport.,Canada,CAD,2025-10-06
770,Ordinateur de bureau,Extrême,Alienware,x16 939-D86-Pro,Intel Core i5-13400F,NVIDIA GeForce RTX 4080,32,4000,SSD NVMe,0,3566.46,4.5,12.83,21,argent,Windows 11 Famille,Wi‑Fi 6E,9,2024,"Ordinateur conçu pour le streaming et le montage vidéo; Intel Core i5-13400F, 32 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
771,Portable de gaming,Extrême,Razer,Blade 15 713-D19-SE,Intel Core i7-13700F,NVIDIA GeForce RTX 4090,16,256,SSD NVMe,16,3406.49,3.4,2.98,8,noir/rouge,Windows 11 Pro,Wi‑Fi 6,5,2024,Portable de gaming doté d'un écran fluide et d'une carte graphique NVIDIA GeForce RTX 4090; parfait pour l'esport.,Canada,CAD,2025-10-06
772,Ordinateur de bureau,Haut de gamme,HP,Victus 791-D14-Max,AMD Ryzen 5 7600,NVIDIA GeForce RTX 4070,16,2000,SSD NVMe,0,2034.9,4.4,9.94,43,noir,Windows 11 Pro,Wi‑Fi 6E,9,2025,PC de jeu puissant avec processeur AMD Ryzen 5 7600 et NVIDIA GeForce RTX 4070; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
773,Portable de gaming,Extrême,Alienware,m16 426-B83-X,AMD Ryzen 9 7950X3D,NVIDIA GeForce RTX 4090,8,2000,SSD NVMe,17.3,3577.58,3.5,1.72,36,gris,Windows 11 Famille,Wi‑Fi 6E,5,2024,PC de jeu puissant avec processeur AMD Ryzen 9 7950X3D et NVIDIA GeForce RTX 4090; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
774,Portable de gaming,Milieu de gamme,Gigabyte,AERO 899-D52-Pro,Intel Core i9-13900KF,NVIDIA GeForce RTX 4060,16,2000,SSD NVMe,16,1543.02,4,2.46,44,argent,Windows 11 Famille,Wi‑Fi 6,5,2024,"Machine robuste au châssis soigné; ventilateurs silencieux, performances stables et mise à niveau facile.",Canada,CAD,2025-10-06
775,Ordinateur de bureau,Haut de gamme,HP,OMEN 932-E68-SE,AMD Ryzen 5 7600,NVIDIA GeForce RTX 4080,8,256,SSD SATA,0,2429.16,4.3,13.63,33,bleu,Windows 11 Famille,Wi‑Fi 7,9,2024,"Ordinateur conçu pour le streaming et le montage vidéo; AMD Ryzen 5 7600, 8 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
776,Ordinateur de bureau,Extrême,Alienware,x16 885-A79-Pro,Intel Core i9-13900KF,NVIDIA GeForce RTX 4080,32,256,SSD NVMe,0,2872.58,5,8.38,41,bleu,Windows 11 Famille,Wi‑Fi 6,10,2024,PC de jeu puissant avec processeur Intel Core i9-13900KF et NVIDIA GeForce RTX 4080; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
777,Portable de gaming,Milieu de gamme,Razer,Blade 18 354-B20-Max,Intel Core i7-13700F,AMD Radeon RX 7700 XT,16,2000,SSD NVMe,16,1624.91,3.8,2.21,33,noir/rouge,Windows 11 Pro,Wi‑Fi 7,5,2023,"Machine robuste au châssis soigné; ventilateurs silencieux, performances stables et mise à niveau facile.",Canada,CAD,2025-10-06
778,Ordinateur de bureau,Milieu de gamme,Gigabyte,AORUS 434-C14,AMD Ryzen 9 7950X3D,AMD Radeon RX 7700 XT,8,2000,SSD NVMe,0,1650.41,3.8,11.85,20,noir/rouge,Windows 11 Pro,Wi‑Fi 7,4,2024,"Système équilibré pour AAA récents; AMD Radeon RX 7700 XT, stockage 2000 Go SSD NVMe, connectivité Wi‑Fi 7.",Canada,CAD,2025-10-06
779,Portable de gaming,Haut de gamme,Alienware,m16 864-C93-X,Intel Core i5-13400F,AMD Radeon RX 7900 XT,32,256,SSD SATA,17.3,2464.32,4.6,2.38,28,bleu,Windows 11 Pro,Wi‑Fi 7,3,2025,Portable de gaming doté d'un écran fluide et d'une carte graphique AMD Radeon RX 7900 XT; parfait pour l'esport.,Canada,CAD,2025-10-06
780,Ordinateur de bureau,Haut de gamme,MSI,Raider 584-B65-SE,AMD Ryzen 9 7950X3D,AMD Radeon RX 7900 XT,16,1000,SSD NVMe,0,2307.49,4.9,9.92,49,argent,Windows 11 Pro,Wi‑Fi 7,6,2024,"Ordinateur conçu pour le streaming et le montage vidéo; AMD Ryzen 9 7950X3D, 16 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
781,Ordinateur de bureau,Extrême,MSI,Aegis 119-D94-X,Intel Core i9-13900KF,NVIDIA GeForce RTX 4090,48,1000,SSD NVMe,0,4287.79,4.6,9.05,19,argent,Windows 11 Pro,Wi‑Fi 6,7,2025,"Ordinateur conçu pour le streaming et le montage vidéo; Intel Core i9-13900KF, 48 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
782,Portable de gaming,Entrée de gamme,Gigabyte,AERO 750-E52-Max,AMD Ryzen 5 7600,AMD Radeon RX 7600,8,1000,SSD NVMe,16,1122.29,3.4,2.44,44,blanc,Windows 11 Famille,Wi‑Fi 7,5,2024,Portable de gaming doté d'un écran fluide et d'une carte graphique AMD Radeon RX 7600; parfait pour l'esport.,Canada,CAD,2025-10-06
783,Ordinateur de bureau,Extrême,Razer,Blade 18 789-D42-X,AMD Ryzen 9 7950X3D,AMD Radeon RX 7900 XT,48,256,SSD NVMe,0,2951.9,4.4,10.72,24,noir,Windows 11 Pro,Wi‑Fi 6,7,2025,"Machine robuste au châssis soigné; ventilateurs silencieux, performances stables et mise à niveau facile.",Canada,CAD,2025-10-06
784,Portable de gaming,Extrême,Dell,XPS Gaming 868-C67-Pro,Intel Core i5-13400F,NVIDIA GeForce RTX 4070,48,4000,SSD NVMe,16,2814.3,4.4,1.81,31,noir,Windows 11 Pro,Wi‑Fi 6E,6,2025,"Système équilibré pour AAA récents; NVIDIA GeForce RTX 4070, stockage 4000 Go SSD NVMe, connectivité Wi‑Fi 6E.",Canada,CAD,2025-10-06
785,Portable de gaming,Milieu de gamme,Lenovo,Legion 234-D87-SE,Intel Core i5-13400F,NVIDIA GeForce RTX 4060,32,512,SSD NVMe,15.6,1572.42,4.6,2.88,20,argent,Windows 11 Famille,Wi‑Fi 7,3,2024,"Machine robuste au châssis soigné; ventilateurs silencieux, performances stables et mise à niveau facile.",Canada,CAD,2025-10-06
786,Ordinateur de bureau,Milieu de gamme,Alienware,x16 528-E45-X,Intel Core i9-13900KF,AMD Radeon RX 7700 XT,8,1000,SSD NVMe,0,1457.01,4.4,13.04,15,blanc,Windows 11 Famille,Wi‑Fi 6E,4,2024,"Ordinateur conçu pour le streaming et le montage vidéo; Intel Core i9-13900KF, 8 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
787,Portable de gaming,Haut de gamme,Gigabyte,AORUS 509-C10-X,Intel Core i9-13900KF,AMD Radeon RX 7900 XT,32,512,SSD NVMe,15.6,2530.25,4,2.67,14,blanc,Windows 11 Pro,Wi‑Fi 6E,5,2023,PC de jeu puissant avec processeur Intel Core i9-13900KF et AMD Radeon RX 7900 XT; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
788,Portable de gaming,Extrême,Lenovo,Legion Pro 734-E20-SE,AMD Ryzen 9 7950X3D,NVIDIA GeForce RTX 4090,8,1000,SSD NVMe,15.6,3465.29,4.8,2.46,19,noir/rouge,Windows 11 Pro,Wi‑Fi 6,3,2024,PC de jeu puissant avec processeur AMD Ryzen 9 7950X3D et NVIDIA GeForce RTX 4090; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
789,Portable de gaming,Haut de gamme,Alienware,Aurora R16 984-B30-SE,AMD Ryzen 9 7950X3D,AMD Radeon RX 7900 XT,16,512,SSD NVMe,17.3,2331.31,3.9,1.34,0,argent,Windows 11 Pro,Wi‑Fi 6E,4,2023,PC de jeu puissant avec processeur AMD Ryzen 9 7950X3D et AMD Radeon RX 7900 XT; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
790,Portable de gaming,Haut de gamme,Lenovo,LOQ 570-B97-Max,Intel Core i7-13700F,AMD Radeon RX 7900 XT,16,2000,SSD NVMe,15.6,2528.03,5,2.01,29,argent,Windows 11 Pro,Wi‑Fi 6,5,2024,PC de jeu puissant avec processeur Intel Core i7-13700F et AMD Radeon RX 7900 XT; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
791,Portable de gaming,Haut de gamme,MSI,Katana 987-E70-Max,Intel Core i5-13400F,AMD Radeon RX 7900 XT,32,1000,SSD SATA,17.3,2544.42,4.2,2.26,14,blanc,Windows 11 Famille,Wi‑Fi 6E,5,2025,PC de jeu puissant avec processeur Intel Core i5-13400F et AMD Radeon RX 7900 XT; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
792,Portable de gaming,Extrême,HP,Victus 472-D75,AMD Ryzen 5 7600,NVIDIA GeForce RTX 4090,8,256,SSD NVMe,16,3396.14,4.2,2.04,27,noir/rouge,Windows 11 Famille,Wi‑Fi 6,2,2024,"Système équilibré pour AAA récents; NVIDIA GeForce RTX 4090, stockage 256 Go SSD NVMe, connectivité Wi‑Fi 6.",Canada,CAD,2025-10-06
793,Ordinateur de bureau,Haut de gamme,Dell,G15 914-D36-X,Intel Core i9-13900KF,AMD Radeon RX 7700 XT,64,256,SSD NVMe,0,2505.14,3.9,10.21,34,gris,Windows 11 Famille,Wi‑Fi 6E,7,2024,"Système équilibré pour AAA récents; AMD Radeon RX 7700 XT, stockage 256 Go SSD NVMe, connectivité Wi‑Fi 6E.",Canada,CAD,2025-10-06
794,Ordinateur de bureau,Haut de gamme,Dell,XPS Gaming 681-C86-Pro,Intel Core i7-13700F,NVIDIA GeForce RTX 4070,48,1000,SSD NVMe,0,2535.24,3.9,6.55,13,noir/rouge,Windows 11 Pro,Wi‑Fi 6E,10,2024,Portable de gaming doté d'un écran fluide et d'une carte graphique NVIDIA GeForce RTX 4070; parfait pour l'esport.,Canada,CAD,2025-10-06
795,Portable de gaming,Haut de gamme,HP,Victus 789-C29-Max,AMD Ryzen 9 7950X3D,NVIDIA GeForce RTX 4070,16,4000,SSD NVMe,16,2105.09,4.9,1.91,32,noir,Windows 11 Famille,Wi‑Fi 6,4,2025,"Ordinateur conçu pour le streaming et le montage vidéo; AMD Ryzen 9 7950X3D, 16 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
